Employee ID,Date,First Check-In Time,Last Check-Out Time
315449,2024-11-11,2024-11-11T19:00:06-05:00,2024-11-11T19:00:06-05:00
3748701,2024-11-11,2024-11-11T19:00:08-05:00,2024-11-11T19:00:08-05:00
4918116,2024-11-11,2024-11-11T19:00:12-05:00,2024-11-11T19:00:12-05:00
3290659,2024-11-11,2024-11-11T19:00:15-05:00,2024-11-11T19:00:15-05:00
1662646,2024-11-11,2024-11-11T19:00:19-05:00,2024-11-11T19:00:19-05:00
981710,2024-11-11,2024-11-11T19:00:24-05:00,2024-11-11T19:00:24-05:00
1238130,2024-11-11,2024-11-11T19:00:27-05:00,2024-11-11T19:00:27-05:00
1396011,2024-11-11,2024-11-11T19:00:32-05:00,2024-11-11T19:00:32-05:00
5441278,2024-11-11,2024-11-11T19:00:38-05:00,2024-11-11T19:00:38-05:00
2189813,2024-11-11,2024-11-11T19:00:47-05:00,2024-11-11T19:00:47-05:00
5050632,2024-11-11,2024-11-11T19:01:00-05:00,2024-11-11T19:01:00-05:00
3007990,2024-11-11,2024-11-11T19:01:05-05:00,2024-11-11T19:01:05-05:00
448115,2024-11-11,2024-11-11T19:01:14-05:00,2024-11-11T19:01:14-05:00
3397778,2024-11-11,2024-11-11T19:01:20-05:00,2024-11-11T19:01:20-05:00
3680674,2024-11-11,2024-11-11T19:01:59-05:00,2024-11-11T19:01:59-05:00
1570642,2024-11-11,2024-11-11T19:02:25-05:00,2024-11-11T19:02:25-05:00
2922052,2024-11-11,2024-11-11T19:02:40-05:00,2024-11-11T19:02:40-05:00
5548252,2024-11-11,2024-11-11T19:02:50-05:00,2024-11-11T19:02:50-05:00
620738,2024-11-12,2024-11-12T07:16:58-05:00,2024-11-12T19:00:54-05:00
4723189,2024-11-12,2024-11-12T07:41:42-05:00,2024-11-12T19:03:02-05:00
6019723,2024-11-12,2024-11-12T07:51:08-05:00,2024-11-12T17:01:16-05:00
4918116,2024-11-12,2024-11-12T07:52:06-05:00,2024-11-12T19:00:59-05:00
1396011,2024-11-12,2024-11-12T07:52:10-05:00,2024-11-12T19:03:49-05:00
5307804,2024-11-12,2024-11-12T07:53:17-05:00,2024-11-12T19:20:49-05:00
3290659,2024-11-12,2024-11-12T07:54:23-05:00,2024-11-12T19:00:04-05:00
1049218,2024-11-12,2024-11-12T07:56:58-05:00,2024-11-12T19:01:25-05:00
1443691,2024-11-12,2024-11-12T07:57:36-05:00,2024-11-12T17:04:09-05:00
2189813,2024-11-12,2024-11-12T07:57:44-05:00,2024-11-12T19:03:53-05:00
3680674,2024-11-12,2024-11-12T07:58:20-05:00,2024-11-12T19:19:10-05:00
981710,2024-11-12,2024-11-12T07:59:20-05:00,2024-11-12T19:04:18-05:00
3443202,2024-11-12,2024-11-12T07:59:26-05:00,2024-11-12T19:20:55-05:00
5269011,2024-11-12,2024-11-12T07:59:36-05:00,2024-11-12T17:03:12-05:00
1570642,2024-11-12,2024-11-12T07:59:40-05:00,2024-11-12T19:01:34-05:00
1133828,2024-11-12,2024-11-12T07:59:54-05:00,2024-11-12T17:08:39-05:00
4154699,2024-11-12,2024-11-12T08:00:03-05:00,2024-11-12T17:02:00-05:00
3397778,2024-11-12,2024-11-12T08:00:07-05:00,2024-11-12T19:06:42-05:00
448115,2024-11-12,2024-11-12T08:01:18-05:00,2024-11-12T08:01:18-05:00
2922052,2024-11-12,2024-11-12T08:02:03-05:00,2024-11-12T08:02:03-05:00
6248178,2024-11-12,2024-11-12T08:02:08-05:00,2024-11-12T17:07:35-05:00
1736095,2024-11-12,2024-11-12T08:02:10-05:00,2024-11-12T08:02:10-05:00
3007990,2024-11-12,2024-11-12T08:02:19-05:00,2024-11-12T08:59:34-05:00
1846688,2024-11-12,2024-11-12T08:04:39-05:00,2024-11-12T19:21:02-05:00
2373250,2024-11-12,2024-11-12T08:04:52-05:00,2024-11-12T19:21:23-05:00
4011206,2024-11-12,2024-11-12T08:05:00-05:00,2024-11-12T17:02:24-05:00
3199699,2024-11-12,2024-11-12T08:05:04-05:00,2024-11-12T17:00:06-05:00
3748701,2024-11-12,2024-11-12T08:05:51-05:00,2024-11-12T19:00:16-05:00
2827419,2024-11-12,2024-11-12T08:05:57-05:00,2024-11-12T19:00:14-05:00
1238130,2024-11-12,2024-11-12T08:06:06-05:00,2024-11-12T19:00:10-05:00
5548252,2024-11-12,2024-11-12T08:06:35-05:00,2024-11-12T19:01:08-05:00
251352,2024-11-12,2024-11-12T08:09:34-05:00,2024-11-12T17:00:36-05:00
2011134,2024-11-12,2024-11-12T08:09:38-05:00,2024-11-12T17:09:14-05:00
3927118,2024-11-12,2024-11-12T08:09:42-05:00,2024-11-12T17:09:08-05:00
5986259,2024-11-12,2024-11-12T08:11:42-05:00,2024-11-12T14:44:16-05:00
2279899,2024-11-12,2024-11-12T08:12:14-05:00,2024-11-12T19:03:23-05:00
5441278,2024-11-12,2024-11-12T08:13:31-05:00,2024-11-12T19:00:43-05:00
5050632,2024-11-12,2024-11-12T08:18:31-05:00,2024-11-12T19:03:57-05:00
5774003,2024-11-12,2024-11-12T08:54:12-05:00,2024-11-12T08:54:12-05:00
620738,2024-11-13,2024-11-13T07:12:15-05:00,2024-11-13T18:13:15-05:00
1396011,2024-11-13,2024-11-13T07:33:29-05:00,2024-11-13T19:00:43-05:00
4887931,2024-11-13,2024-11-13T07:35:23-05:00,2024-11-13T18:02:33-05:00
3443202,2024-11-13,2024-11-13T07:44:38-05:00,2024-11-13T07:44:38-05:00
2189813,2024-11-13,2024-11-13T07:44:54-05:00,2024-11-13T17:03:28-05:00
4723189,2024-11-13,2024-11-13T07:49:48-05:00,2024-11-13T19:01:24-05:00
3397778,2024-11-13,2024-11-13T07:49:50-05:00,2024-11-13T19:01:02-05:00
6019723,2024-11-13,2024-11-13T07:52:41-05:00,2024-11-13T19:01:28-05:00
3290659,2024-11-13,2024-11-13T07:56:47-05:00,2024-11-13T19:00:05-05:00
981710,2024-11-13,2024-11-13T07:59:30-05:00,2024-11-13T19:00:47-05:00
2922052,2024-11-13,2024-11-13T08:01:20-05:00,2024-11-13T19:20:30-05:00
3007990,2024-11-13,2024-11-13T08:01:25-05:00,2024-11-13T19:00:03-05:00
2279899,2024-11-13,2024-11-13T08:01:29-05:00,2024-11-13T19:01:11-05:00
1443691,2024-11-13,2024-11-13T08:01:59-05:00,2024-11-13T17:04:25-05:00
5441278,2024-11-13,2024-11-13T08:02:33-05:00,2024-11-13T19:00:19-05:00
3680674,2024-11-13,2024-11-13T08:03:47-05:00,2024-11-13T17:04:34-05:00
448115,2024-11-13,2024-11-13T08:04:06-05:00,2024-11-13T19:11:41-05:00
5307804,2024-11-13,2024-11-13T08:05:28-05:00,2024-11-13T17:14:55-05:00
2011134,2024-11-13,2024-11-13T08:05:32-05:00,2024-11-13T19:02:10-05:00
3748701,2024-11-13,2024-11-13T08:06:04-05:00,2024-11-13T19:00:08-05:00
3199699,2024-11-13,2024-11-13T08:06:07-05:00,2024-11-13T17:01:41-05:00
4918116,2024-11-13,2024-11-13T08:06:12-05:00,2024-11-13T19:00:26-05:00
2827419,2024-11-13,2024-11-13T08:06:16-05:00,2024-11-13T19:00:13-05:00
6248178,2024-11-13,2024-11-13T08:07:28-05:00,2024-11-13T17:04:42-05:00
2373250,2024-11-13,2024-11-13T08:07:36-05:00,2024-11-13T17:16:57-05:00
1736095,2024-11-13,2024-11-13T08:07:48-05:00,2024-11-13T17:05:31-05:00
1570642,2024-11-13,2024-11-13T08:08:04-05:00,2024-11-13T19:03:03-05:00
4011206,2024-11-13,2024-11-13T08:08:06-05:00,2024-11-13T19:00:39-05:00
5548252,2024-11-13,2024-11-13T08:09:12-05:00,2024-11-13T18:25:24-05:00
1133828,2024-11-13,2024-11-13T08:10:30-05:00,2024-11-13T08:10:30-05:00
1049218,2024-11-13,2024-11-13T08:12:12-05:00,2024-11-13T19:00:16-05:00
5774003,2024-11-13,2024-11-13T08:13:04-05:00,2024-11-13T18:02:25-05:00
3927118,2024-11-13,2024-11-13T08:15:30-05:00,2024-11-13T17:28:47-05:00
251352,2024-11-13,2024-11-13T08:16:46-05:00,2024-11-13T17:04:00-05:00
5050632,2024-11-13,2024-11-13T08:39:49-05:00,2024-11-13T18:02:35-05:00
5986259,2024-11-13,2024-11-13T08:47:31-05:00,2024-11-13T08:47:31-05:00
620738,2024-11-14,2024-11-14T07:37:11-05:00,2024-11-14T18:59:18-05:00
1396011,2024-11-14,2024-11-14T07:42:45-05:00,2024-11-14T07:42:45-05:00
4723189,2024-11-14,2024-11-14T07:52:26-05:00,2024-11-14T07:52:26-05:00
5774003,2024-11-14,2024-11-14T07:55:07-05:00,2024-11-14T18:00:24-05:00
4887931,2024-11-14,2024-11-14T07:55:12-05:00,2024-11-14T18:00:25-05:00
3290659,2024-11-14,2024-11-14T07:57:09-05:00,2024-11-14T07:57:09-05:00
1049218,2024-11-14,2024-11-14T07:57:37-05:00,2024-11-14T18:59:23-05:00
2189813,2024-11-14,2024-11-14T07:58:33-05:00,2024-11-14T17:38:50-05:00
6019723,2024-11-14,2024-11-14T07:58:41-05:00,2024-11-14T07:58:41-05:00
981710,2024-11-14,2024-11-14T07:59:46-05:00,2024-11-14T07:59:46-05:00
3839948,2024-11-14,2024-11-14T08:01:16-05:00,2024-11-14T18:59:28-05:00
3443202,2024-11-14,2024-11-14T08:01:34-05:00,2024-11-14T08:01:34-05:00
2922052,2024-11-14,2024-11-14T08:01:40-05:00,2024-11-14T08:01:40-05:00
3007990,2024-11-14,2024-11-14T08:02:00-05:00,2024-11-14T17:00:12-05:00
3680674,2024-11-14,2024-11-14T08:02:10-05:00,2024-11-14T08:02:10-05:00
448115,2024-11-14,2024-11-14T08:02:25-05:00,2024-11-14T08:02:25-05:00
5441278,2024-11-14,2024-11-14T08:04:18-05:00,2024-11-14T18:05:01-05:00
1570642,2024-11-14,2024-11-14T08:04:23-05:00,2024-11-14T18:54:49-05:00
5548252,2024-11-14,2024-11-14T08:07:48-05:00,2024-11-14T18:05:08-05:00
1443691,2024-11-14,2024-11-14T08:08:46-05:00,2024-11-14T17:00:35-05:00
5307804,2024-11-14,2024-11-14T08:09:54-05:00,2024-11-14T17:00:17-05:00
3199699,2024-11-14,2024-11-14T08:09:58-05:00,2024-11-14T17:01:37-05:00
2827419,2024-11-14,2024-11-14T08:10:03-05:00,2024-11-14T18:59:13-05:00
4918116,2024-11-14,2024-11-14T08:10:07-05:00,2024-11-14T08:10:07-05:00
3748701,2024-11-14,2024-11-14T08:10:10-05:00,2024-11-14T18:59:26-05:00
1736095,2024-11-14,2024-11-14T08:12:25-05:00,2024-11-14T08:12:25-05:00
4011206,2024-11-14,2024-11-14T08:13:21-05:00,2024-11-14T17:02:24-05:00
3927118,2024-11-14,2024-11-14T08:13:30-05:00,2024-11-14T16:05:09-05:00
2011134,2024-11-14,2024-11-14T08:14:26-05:00,2024-11-14T08:14:26-05:00
1846688,2024-11-14,2024-11-14T08:14:32-05:00,2024-11-14T08:14:32-05:00
2373250,2024-11-14,2024-11-14T08:14:36-05:00,2024-11-14T08:14:36-05:00
2279899,2024-11-14,2024-11-14T08:15:23-05:00,2024-11-14T08:15:23-05:00
251352,2024-11-14,2024-11-14T08:17:22-05:00,2024-11-14T08:17:22-05:00
5269011,2024-11-14,2024-11-14T08:22:39-05:00,2024-11-14T17:00:08-05:00
3397778,2024-11-14,2024-11-14T08:24:30-05:00,2024-11-14T08:24:30-05:00
5050632,2024-11-14,2024-11-14T08:25:07-05:00,2024-11-14T18:00:28-05:00
5986259,2024-11-14,2024-11-14T08:26:39-05:00,2024-11-14T16:03:35-05:00
1133828,2024-11-14,2024-11-14T08:26:43-05:00,2024-11-14T08:26:43-05:00
6248178,2024-11-14,2024-11-14T08:49:23-05:00,2024-11-14T17:02:20-05:00
